Lærested,Lærestedsnavn ,Studiekode,Studienavn,Studiested,Utdanningsområde- og type,Kvote,År,Opptaksfase,Poenggrense,Poenggrense + venteliste,Antall på venteliste,Antall studier per kvote i år
AHO,Arkitektur- og designhøgskolen i Oslo,189 030,Arkitekt,Oslo,TEKNO - ARKITEKT,ORD,2019,Hovedopptak,135.03,135.03 (209),209,1303
AHO,Arkitektur- og designhøgskolen i Oslo,189 030,Arkitekt,Oslo,TEKNO - ARKITEKT,ORD,2019,Suppleringsopptak,135.03,135.03 (158),158,1303
AHO,Arkitektur- og designhøgskolen i Oslo,189 030,Arkitekt,Oslo,TEKNO - ARKITEKT,ORD,2020,Hovedopptak,128.97,128.97 (210),210,1303
AHO,Arkitektur- og designhøgskolen i Oslo,189 030,Arkitekt,Oslo,TEKNO - ARKITEKT,ORD,2020,Suppleringsopptak,128.97,128.97 (162),162,1303
AHO,Arkitektur- og designhøgskolen i Oslo,189 030,Arkitekt,Oslo,TEKNO - ARKITEKT,ORDF,2019,Hovedopptak,122.71,122.71 (97),97,1272
AHO,Arkitektur- og designhøgskolen i Oslo,189 030,Arkitekt,Oslo,TEKNO - ARKITEKT,ORDF,2019,Suppleringsopptak,122.71,122.71 (78),78,1272
AHO,Arkitektur- og designhøgskolen i Oslo,189 030,Arkitekt,Oslo,TEKNO - ARKITEKT,ORDF,2020,Hovedopptak,107.97,107.97 (108),108,1272
AHO,Arkitektur- og designhøgskolen i Oslo,189 030,Arkitekt,Oslo,TEKNO - ARKITEKT,ORDF,2020,Suppleringsopptak,107.97,107.97 (81),81,1272
AHO,Arkitektur- og designhøgskolen i Oslo,189 343,Design,Oslo,TEKNO - SIVING,ORD,2019,Hovedopptak,150.02,150.02 (122),122,1303
AHO,Arkitektur- og designhøgskolen i Oslo,189 343,Design,Oslo,TEKNO - SIVING,ORD,2019,Suppleringsopptak,150.02,150.02 (95),95,1303
AHO,Arkitektur- og designhøgskolen i Oslo,189 343,Design,Oslo,TEKNO - SIVING,ORD,2020,Hovedopptak,132.17,132.17 (111),111,1303
AHO,Arkitektur- og designhøgskolen i Oslo,189 343,Design,Oslo,TEKNO - SIVING,ORD,2020,Suppleringsopptak,132.17,132.17 (92),92,1303
AHO,Arkitektur- og designhøgskolen i Oslo,189 343,Design,Oslo,TEKNO - SIVING,ORDF,2019,Hovedopptak,127.45,127.45 (66),66,1272
AHO,Arkitektur- og designhøgskolen i Oslo,189 343,Design,Oslo,TEKNO - SIVING,ORDF,2019,Suppleringsopptak,127.45,127.45 (53),53,1272
AHO,Arkitektur- og designhøgskolen i Oslo,189 343,Design,Oslo,TEKNO - SIVING,ORDF,2020,Hovedopptak,127.73,127.73 (66),66,1272
AHO,Arkitektur- og designhøgskolen i Oslo,189 343,Design,Oslo,TEKNO - SIVING,ORDF,2020,Suppleringsopptak,127.73,127.73 (52),52,1272
AHO,Arkitektur- og designhøgskolen i Oslo,189 732,Landskapsarkitektur,Oslo,TEKNO - ANNET,ORD,2019,Hovedopptak,145.95,145.95 (66),66,1303
AHO,Arkitektur- og designhøgskolen i Oslo,189 732,Landskapsarkitektur,Oslo,TEKNO - ANNET,ORD,2019,Suppleringsopptak,145.95,145.95 (51),51,1303
AHO,Arkitektur- og designhøgskolen i Oslo,189 732,Landskapsarkitektur,Oslo,TEKNO - ANNET,ORD,2020,Hovedopptak,147.30,147.30 (79),79,1303
AHO,Arkitektur- og designhøgskolen i Oslo,189 732,Landskapsarkitektur,Oslo,TEKNO - ANNET,ORD,2020,Suppleringsopptak,147.30,147.30 (69),69,1303
AHO,Arkitektur- og designhøgskolen i Oslo,189 732,Landskapsarkitektur,Oslo,TEKNO - ANNET,ORDF,2019,Hovedopptak,112.90,112.90 (30),30,1272
AHO,Arkitektur- og designhøgskolen i Oslo,189 732,Landskapsarkitektur,Oslo,TEKNO - ANNET,ORDF,2019,Suppleringsopptak,112.90,112.90 (24),24,1272
AHO,Arkitektur- og designhøgskolen i Oslo,189 732,Landskapsarkitektur,Oslo,TEKNO - ANNET,ORDF,2020,Hovedopptak,145.80,145.80 (39),39,1272
AHO,Arkitektur- og designhøgskolen i Oslo,189 732,Landskapsarkitektur,Oslo,TEKNO - ANNET,ORDF,2020,Suppleringsopptak,145.80,145.80 (35),35,1272
AHS,Ansgar høyskole,255 196,"Kristendom, religion, livssyn og etikk",Kristiansand,HISTORIE,ORD,2019,Hovedopptak,Alle,Alle (0),0,1303
AHS,Ansgar høyskole,255 196,"Kristendom, religion, livssyn og etikk",Kristiansand,HISTORIE,ORD,2019,Suppleringsopptak,Alle,Alle (0),0,1303
AHS,Ansgar høyskole,255 196,"Kristendom, religion, livssyn og etikk",Kristiansand,HISTORIE,ORD,2020,Hovedopptak,Alle,Alle (0),0,1303
AHS,Ansgar høyskole,255 196,"Kristendom, religion, livssyn og etikk",Kristiansand,HISTORIE,ORD,2020,Suppleringsopptak,Alle,Alle (0),0,1303
AHS,Ansgar høyskole,255 196,"Kristendom, religion, livssyn og etikk",Kristiansand,HISTORIE,ORDF,2019,Hovedopptak,Alle,Alle (0),0,1272
AHS,Ansgar høyskole,255 196,"Kristendom, religion, livssyn og etikk",Kristiansand,HISTORIE,ORDF,2019,Suppleringsopptak,Alle,Alle (0),0,1272
AHS,Ansgar høyskole,255 196,"Kristendom, religion, livssyn og etikk",Kristiansand,HISTORIE,ORDF,2020,Hovedopptak,Alle,Alle (0),0,1272
AHS,Ansgar høyskole,255 196,"Kristendom, religion, livssyn og etikk",Kristiansand,HISTORIE,ORDF,2020,Suppleringsopptak,Alle,Alle (0),0,1272
AHS,Ansgar høyskole,255 418,Interkulturell forståelse,Kristiansand,SAMFUNN,ORD,2019,Hovedopptak,Alle,Alle (0),0,1303
AHS,Ansgar høyskole,255 418,Interkulturell forståelse,Kristiansand,SAMFUNN,ORD,2019,Suppleringsopptak,Alle,Alle (0),0,1303
AHS,Ansgar høyskole,255 418,Interkulturell forståelse,Kristiansand,SAMFUNN,ORD,2020,Hovedopptak,Alle,Alle (0),0,1303
AHS,Ansgar høyskole,255 418,Interkulturell forståelse,Kristiansand,SAMFUNN,ORD,2020,Suppleringsopptak,Alle,Alle (0),0,1303
AHS,Ansgar høyskole,255 418,Interkulturell forståelse,Kristiansand,SAMFUNN,ORDF,2019,Hovedopptak,Alle,Alle (0),0,1272
