Studiekode,Studienavn,Lærested,Studiested,Utdanningsområde og -type,Kvote,Opptaksrunde,År,Poenggrense
150 485,"Trening, helse og prestasjon",NIH,Oslo,IDRETT,ORD,Hovedopptak,2021,54.7
150 485,"Trening, helse og prestasjon",NIH,Oslo,IDRETT,ORDF,Hovedopptak,2021,49.6
150 486,Sport Management,NIH,Oslo,IDRETT,ORD,Hovedopptak,2021,52.6
150 486,Sport Management,NIH,Oslo,IDRETT,ORDF,Hovedopptak,2021,47.5
150 489,Trenerrollen og idrettspsykologi,NIH,Oslo,IDRETT,ORD,Hovedopptak,2021,54.3
150 489,Trenerrollen og idrettspsykologi,NIH,Oslo,IDRETT,ORDF,Hovedopptak,2021,49.5
150 566,"Lærer, 1. - 13. trinn, kroppsøving og idrettsfag",NIH,Oslo,LÆRER - LUPE1-13,ORD,Hovedopptak,2021,54.3
150 566,"Lærer, 1. - 13. trinn, kroppsøving og idrettsfag",NIH,Oslo,LÆRER - LUPE1-13,ORDF,Hovedopptak,2021,49.6
150 605,Friluftsliv,NIH,Oslo,IDRETT,ORD,Hovedopptak,2021,51.2
150 605,Friluftsliv,NIH,Oslo,IDRETT,ORDF,Hovedopptak,2021,40.9
150 649,Idrett og samfunn,NIH,Oslo,IDRETT,ORD,Hovedopptak,2021,53.4
150 649,Idrett og samfunn,NIH,Oslo,IDRETT,ORDF,Hovedopptak,2021,48.3
184 074,Norrøn filologi,UIB,Bergen,SPRÅK,ORD,Hovedopptak,2021,0
184 074,Norrøn filologi,UIB,Bergen,SPRÅK,ORDF,Hovedopptak,2021,0
184 162,"Administrasjon og organisasjonsvitenskap, årsstudium",UIB,Bergen,SAMFUNN,ORD,Hovedopptak,2021,53.5
184 162,"Administrasjon og organisasjonsvitenskap, årsstudium",UIB,Bergen,SAMFUNN,ORDF,Hovedopptak,2021,45.2
184 170,"Engelsk, årsstudium",UIB,Bergen,SPRÅK,ORD,Hovedopptak,2021,0
184 170,"Engelsk, årsstudium",UIB,Bergen,SPRÅK,ORDF,Hovedopptak,2021,0
184 174,"Fransk, årsstudium",UIB,Bergen,SPRÅK,ORD,Hovedopptak,2021,0
184 174,"Fransk, årsstudium",UIB,Bergen,SPRÅK,ORDF,Hovedopptak,2021,0
